01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
75,21,16,27,17,11,29,44,39,20,108,82,329,161,41,22,25,15,9,17,56,73,159,33,26,61,289,174,29,18,7,7,33,45,28,15,22,25,9,120,18,20,38,19,20,34,33,Apr-04
83,25,20,24,8,8,30,43,25,31,116,118,293,159,38,23,9,11,9,22,50,85,121,22,20,50,296,121,26,17,8,11,28,28,23,11,15,17,12,91,22,27,28,27,14,46,9,May-04
76,30,12,28,21,11,33,55,27,26,125,133,330,186,32,13,13,10,10,19,44,76,168,38,17,72,325,145,35,25,11,14,42,40,26,15,18,22,23,115,24,28,34,24,19,53,31,Jun-04
97,19,23,43,13,9,31,49,46,30,146,141,325,176,40,25,13,21,7,27,51,93,161,34,24,60,351,162,26,23,19,12,36,44,28,22,15,29,19,98,26,28,42,21,17,44,35,Jul-04
77,21,16,35,17,12,37,47,33,33,130,116,343,165,34,18,21,19,14,26,42,77,168,31,17,52,299,140,24,24,13,8,21,45,29,15,11,24,13,109,20,19,28,35,22,38,21,Aug-04
74,39,13,27,12,15,28,35,20,25,116,105,351,149,37,13,22,19,9,18,47,82,148,37,25,51,319,112,27,17,6,14,43,30,23,18,19,22,15,99,16,29,25,21,18,36,17,Sep-04
67,32,17,27,16,8,24,54,28,26,127,87,291,169,29,10,22,10,7,13,38,78,143,23,26,54,285,135,33,25,14,8,30,35,31,17,17,16,9,114,22,39,31,17,14,38,31,Oct-04
62,35,19,32,19,11,26,44,34,18,129,106,310,157,26,15,29,14,10,20,50,73,141,33,36,58,287,119,26,13,8,14,33,43,32,13,11,24,14,119,15,28,29,15,17,32,26,Nov-04
70,25,10,32,14,10,27,44,14,23,102,102,288,166,40,19,31,9,11,18,29,64,131,41,20,53,314,147,33,22,14,8,32,37,25,18,20,28,20,105,21,51,27,24,19,31,38,Dec-04
65,24,18,23,9,6,21,47,25,23,88,162,270,140,40,13,18,14,10,25,56,57,118,27,15,120,196,78,25,24,13,7,16,35,25,12,21,22,20,97,11,24,29,25,8,32,29,Jan-05
